Intercept,Day of Week Seasonality,Trend,Events,Media,day_dt
1877926.7550633454,700681.7676834032,0.0,136306.071356046,165110.9728280175,2023-01-01
1877926.7550633454,744151.4194835251,31.34776867690194,0.0,183075.48202262822,2023-01-02
1877926.7550633454,715324.513535218,62.69553735380388,0.0,182473.28097507526,2023-01-03
1877926.7550633454,706435.6426235562,94.04330603070582,0.0,176330.96165496417,2023-01-04
1877926.7550633454,690636.9173104338,125.39107470760776,0.0,172900.8973583928,2023-01-05
1877926.7550633454,667697.3358139893,156.73884338450964,0.0,164872.09446715988,2023-01-06
1877926.7550633454,680686.4161540509,188.08661206141164,0.0,163170.77057420003,2023-01-07
1877926.7550633454,700681.7676834032,219.4343807383134,0.0,171265.9184029662,2023-01-08
1877926.7550633454,744151.4194835251,250.7821494152155,0.0,159321.01665691097,2023-01-09
1877926.7550633454,715324.513535218,282.12991809211576,0.0,153908.4371812763,2023-01-10
1877926.7550633454,706435.6426235562,313.4776867690193,0.0,157293.93310520137,2023-01-11
1877926.7550633454,690636.9173104338,344.82545544592267,0.0,160210.55353805886,2023-01-12
1877926.7550633454,667697.3358139893,376.1732241228233,0.0,163461.7842761864,2023-01-13
1877926.7550633454,680686.4161540509,407.5209927997259,0.0,170807.6481915937,2023-01-14
1877926.7550633454,700681.7676834032,438.8687614766268,0.0,183512.52055513932,2023-01-15
1877926.7550633454,744151.4194835251,470.21653015352905,-32032.304348060094,180008.21345265262,2023-01-16
1877926.7550633454,715324.513535218,501.564298830431,0.0,178746.85385590504,2023-01-17
1877926.7550633454,706435.6426235562,532.9120675073315,0.0,176144.63013405167,2023-01-18
1877926.7550633454,690636.9173104338,564.2598361842315,0.0,178427.790281225,2023-01-19
1877926.7550633454,667697.3358139893,595.6076048611366,0.0,182437.70781983435,2023-01-20
1877926.7550633454,680686.4161540509,626.9553735380385,0.0,194202.1605941173,2023-01-21
1877926.7550633454,700681.7676834032,658.303142214941,0.0,199400.12116244147,2023-01-22
1877926.7550633454,744151.4194835251,689.6509108918453,0.0,202684.66884974818,2023-01-23
1877926.7550633454,715324.513535218,720.9986795687446,0.0,205860.72486867566,2023-01-24
1877926.7550633454,706435.6426235562,752.3464482456466,0.0,210267.1734871487,2023-01-25
1877926.7550633454,690636.9173104338,783.6942169225507,0.0,209956.93579516077,2023-01-26
1877926.7550633454,667697.3358139893,815.0419855994518,0.0,214216.6905351378,2023-01-27
1877926.7550633454,680686.4161540509,846.3897542763522,0.0,220289.6823266272,2023-01-28
1877926.7550633454,700681.7676834032,877.7375229532536,0.0,228236.73205981133,2023-01-29
1877926.7550633454,744151.4194835251,909.0852916301565,0.0,217841.29599982844,2023-01-30
1877926.7550633454,715324.513535218,940.4330603070581,0.0,211812.39003328705,2023-01-31
1877926.7550633454,706435.6426235562,0.0,0.0,225281.6357480983,2023-02-01
1877926.7550633454,690636.9173104338,1072.0161702849225,0.0,228836.35036582474,2023-02-02
1877926.7550633454,667697.3358139893,2144.032340569845,0.0,229338.52632907376,2023-02-03
1877926.7550633454,680686.4161540509,3216.048510854767,0.0,230262.97909800938,2023-02-04
1877926.7550633454,700681.7676834032,4288.06468113969,0.0,240480.26563880235,2023-02-05
1877926.7550633454,744151.4194835251,5360.080851424615,0.0,227282.6079151937,2023-02-06
1877926.7550633454,715324.513535218,6432.097021709534,0.0,225261.02475695877,2023-02-07
1877926.7550633454,706435.6426235562,7504.113191994454,0.0,235625.645362874,2023-02-08
1877926.7550633454,690636.9173104338,8576.12936227938,0.0,230952.27555732045,2023-02-09
1877926.7550633454,667697.3358139893,9648.145532564304,0.0,229072.0961933091,2023-02-10
1877926.7550633454,680686.4161540509,10720.16170284923,0.0,242849.58990009484,2023-02-11
1877926.7550633454,700681.7676834032,11792.17787313415,211959.34788245373,241165.13820567334,2023-02-12
1877926.7550633454,744151.4194835251,12864.194043419067,-78301.79726603605,248477.8115906111,2023-02-13
1877926.7550633454,715324.513535218,13936.210213703984,0.0,247198.73507079587,2023-02-14
1877926.7550633454,706435.6426235562,15008.226383988907,0.0,243468.91678835527,2023-02-15
1877926.7550633454,690636.9173104338,16080.24255427384,0.0,244632.4453438795,2023-02-16
1877926.7550633454,667697.3358139893,17152.25872455876,0.0,246508.87672314845,2023-02-17
1877926.7550633454,680686.4161540509,18224.27489484369,0.0,252035.65824861306,2023-02-18
1877926.7550633454,700681.7676834032,19296.291065128607,0.0,268394.04675036017,2023-02-19
1877926.7550633454,744151.4194835251,20368.307235413522,-25028.232024829922,260665.95640304562,2023-02-20
1877926.7550633454,715324.513535218,21440.32340569846,0.0,255390.48437284498,2023-02-21
1877926.7550633454,706435.6426235562,22512.33957598339,0.0,254628.75037018512,2023-02-22
1877926.7550633454,690636.9173104338,23584.3557462683,0.0,262127.94585445363,2023-02-23
1877926.7550633454,667697.3358139893,24656.37191655321,0.0,258308.5248346032,2023-02-24
1877926.7550633454,680686.4161540509,25728.388086838135,0.0,261818.4661254351,2023-02-25
1877926.7550633454,700681.7676834032,26800.40425712304,0.0,274038.25638276094,2023-02-26
1877926.7550633454,744151.4194835251,27872.420427407968,0.0,271311.2288155304,2023-02-27
1877926.7550633454,715324.513535218,28944.436597692926,0.0,260108.10043752257,2023-02-28
1877926.7550633454,706435.6426235562,0.0,0.0,251823.46833241035,2023-03-01
1877926.7550633454,690636.9173104338,-116.68787158867475,0.0,245869.81664668143,2023-03-02
1877926.7550633454,667697.3358139893,-233.3757431773495,0.0,248544.07300670946,2023-03-03
1877926.7550633454,680686.4161540509,-350.06361476602433,0.0,257033.00819742234,2023-03-04
1877926.7550633454,700681.7676834032,-466.751486354699,0.0,270041.10287305654,2023-03-05
1877926.7550633454,744151.4194835251,-583.4393579433735,0.0,264697.52978612535,2023-03-06
1877926.7550633454,715324.513535218,-700.1272295320487,0.0,259478.92932948898,2023-03-07
1877926.7550633454,706435.6426235562,-816.8151011207234,0.0,261854.87881434796,2023-03-08
1877926.7550633454,690636.9173104338,-933.502972709398,0.0,266790.35479011084,2023-03-09
1877926.7550633454,667697.3358139893,-1050.1908442980712,0.0,273448.11950939725,2023-03-10
1877926.7550633454,680686.4161540509,-1166.878715886747,0.0,296176.80033022613,2023-03-11
1877926.7550633454,700681.7676834032,-1283.5665874754206,0.0,333002.99393618345,2023-03-12
1877926.7550633454,744151.4194835251,-1400.2544590640973,0.0,346404.52036909363,2023-03-13
1877926.7550633454,715324.513535218,-1516.9423306527706,0.0,325027.28445332294,2023-03-14
1877926.7550633454,706435.6426235562,-1633.6302022414468,0.0,315821.76689111034,2023-03-15
1877926.7550633454,690636.9173104338,-1750.318073830121,0.0,311164.43918253866,2023-03-16
1877926.7550633454,667697.3358139893,-1867.005945418796,0.0,304912.89979176,2023-03-17
1877926.7550633454,680686.4161540509,-1983.6938170074711,0.0,316943.55033928656,2023-03-18
1877926.7550633454,700681.7676834032,-2100.3816885961423,0.0,340692.4277512752,2023-03-19
1877926.7550633454,744151.4194835251,-2217.069560184818,0.0,325170.934983478,2023-03-20
1877926.7550633454,715324.513535218,-2333.757431773494,0.0,317712.88917331165,2023-03-21
1877926.7550633454,706435.6426235562,-2450.4453033621635,0.0,319999.4900178802,2023-03-22
1877926.7550633454,690636.9173104338,-2567.1331749508413,0.0,325380.3005947069,2023-03-23
1877926.7550633454,667697.3358139893,-2683.82104653952,-18491.911136193525,318282.96170864464,2023-03-24
1877926.7550633454,680686.4161540509,-2800.5089181281946,-21861.697693320693,332030.4018267106,2023-03-25
1877926.7550633454,700681.7676834032,-2917.19678971687,-46676.50914603454,365860.59458823164,2023-03-26
1877926.7550633454,744151.4194835251,-3033.884661305541,-7828.248299863684,317132.1457211494,2023-03-27
1877926.7550633454,715324.513535218,-3150.5725328942185,-24063.587514680563,303508.47020526615,2023-03-28
1877926.7550633454,706435.6426235562,-3267.2604044828936,0.0,296872.30628343765,2023-03-29
1877926.7550633454,690636.9173104338,-3383.9482760715614,0.0,292933.80730075506,2023-03-30
1877926.7550633454,667697.3358139893,-3500.636147660242,0.0,283798.07460518635,2023-03-31
1877926.7550633454,680686.4161540509,0.0,0.0,266337.0951396042,2023-04-01
1877926.7550633454,700681.7676834032,2066.57803111409,0.0,260063.8498714887,2023-04-02
1877926.7550633454,744151.4194835251,4133.15606222818,0.0,260035.8972446589,2023-04-03
1877926.7550633454,715324.513535218,6199.734093342279,0.0,254090.9752571307,2023-04-04
1877926.7550633454,706435.6426235562,8266.31212445636,0.0,250727.40829352342,2023-04-05
1877926.7550633454,690636.9173104338,10332.890155570467,0.0,244299.24413183882,2023-04-06
1877926.7550633454,667697.3358139893,12399.468186684559,0.0,240094.24114639385,2023-04-07
1877926.7550633454,680686.4161540509,14466.046217798643,0.0,230374.12651848965,2023-04-08
